score,method,condition,process,item,subject
41.0,DE,LP3.5,LP35,DE_SitaSings_remix2_LD6,D014
10.0,DE,LP3.5,LP35,DE_SitaSings_remix2_LD6,D015
36.0,DE,LP3.5,LP35,DE_SitaSings_remix2_LD6,D016
12.0,DE,LP3.5,LP35,DE_SitaSings_remix2_LD6,D017
12.0,DE,LP3.5,LP35,DE_SitaSings_remix2_LD6,D018
20.0,DE,LP3.5,LP35,DE_SitaSings_remix2_LD6,D019
25.0,DE,LP3.5,LP35,DE_female_speech_music_1_LD0,D005
41.0,DE,LP3.5,LP35,DE_female_speech_music_1_LD0,D013
44.0,DE,LP3.5,LP35,DE_female_speech_music_1_LD0,D014
10.0,DE,LP3.5,LP35,DE_female_speech_music_1_LD0,D015
40.0,DE,LP3.5,LP35,DE_female_speech_music_1_LD0,D016
25.0,DE,LP3.5,LP35,DE_female_speech_music_1_LD0,D017
9.0,DE,LP3.5,LP35,DE_female_speech_music_1_LD0,D018
0.0,DE,LP3.5,LP35,DE_female_speech_music_1_LD0,D019
34.0,DE,LP3.5,LP35,DE_female_speech_music_2_LD9,D005
50.0,DE,LP3.5,LP35,DE_female_speech_music_2_LD9,D013
46.0,DE,LP3.5,LP35,DE_female_speech_music_2_LD9,D014
10.0,DE,LP3.5,LP35,DE_female_speech_music_2_LD9,D015
40.0,DE,LP3.5,LP35,DE_female_speech_music_2_LD9,D016
14.0,DE,LP3.5,LP35,DE_female_speech_music_2_LD9,D017
8.0,DE,LP3.5,LP35,DE_female_speech_music_2_LD9,D018
20.0,DE,LP3.5,LP35,DE_female_speech_music_2_LD9,D019
27.0,DE,LP3.5,LP35,DE_female_speech_music_3_LD3,D005
39.0,DE,LP3.5,LP35,DE_female_speech_music_3_LD3,D013
52.0,DE,LP3.5,LP35,DE_female_speech_music_3_LD3,D014
9.0,DE,LP3.5,LP35,DE_female_speech_music_3_LD3,D015
40.0,DE,LP3.5,LP35,DE_female_speech_music_3_LD3,D016
15.0,DE,LP3.5,LP35,DE_female_speech_music_3_LD3,D017
10.0,DE,LP3.5,LP35,DE_female_speech_music_3_LD3,D018
10.0,DE,LP3.5,LP35,DE_female_speech_music_3_LD3,D019
38.0,DE,LP7,LP70,DE_CosmosLandromat_remix1_LD6,D005
71.0,DE,LP7,LP70,DE_CosmosLandromat_remix1_LD6,D013
36.0,DE,LP7,LP70,DE_CosmosLandromat_remix1_LD6,D014
23.0,DE,LP7,LP70,DE_CosmosLandromat_remix1_LD6,D015
50.0,DE,LP7,LP70,DE_CosmosLandromat_remix1_LD6,D016
46.0,DE,LP7,LP70,DE_CosmosLandromat_remix1_LD6,D017
59.0,DE,LP7,LP70,DE_CosmosLandromat_remix1_LD6,D018
30.0,DE,LP7,LP70,DE_CosmosLandromat_remix1_LD6,D019
40.0,DE,LP7,LP70,DE_CosmosLandromat_remix3_LD3,D005
67.0,DE,LP7,LP70,DE_CosmosLandromat_remix3_LD3,D013
76.0,DE,LP7,LP70,DE_CosmosLandromat_remix3_LD3,D014
17.0,DE,LP7,LP70,DE_CosmosLandromat_remix3_LD3,D015
41.0,DE,LP7,LP70,DE_CosmosLandromat_remix3_LD3,D016
40.0,DE,LP7,LP70,DE_CosmosLandromat_remix3_LD3,D017
42.0,DE,LP7,LP70,DE_CosmosLandromat_remix3_LD3,D018
20.0,DE,LP7,LP70,DE_CosmosLandromat_remix3_LD3,D019
40.0,DE,LP7,LP70,DE_ElephantsDream_LD0,D005
39.0,DE,LP7,LP70,DE_ElephantsDream_LD0,D013
70.0,DE,LP7,LP70,DE_ElephantsDream_LD0,D014
29.0,DE,LP7,LP70,DE_ElephantsDream_LD0,D015
44.0,DE,LP7,LP70,DE_ElephantsDream_LD0,D016
31.0,DE,LP7,LP70,DE_ElephantsDream_LD0,D017
47.0,DE,LP7,LP70,DE_ElephantsDream_LD0,D018
30.0,DE,LP7,LP70,DE_ElephantsDream_LD0,D019
47.0,DE,LP7,LP70,DE_Meridian_remix1_LD3,D005
51.0,DE,LP7,LP70,DE_Meridian_remix1_LD3,D013
63.0,DE,LP7,LP70,DE_Meridian_remix1_LD3,D014
26.0,DE,LP7,LP70,DE_Meridian_remix1_LD3,D015
60.0,DE,LP7,LP70,DE_Meridian_remix1_LD3,D016
24.0,DE,LP7,LP70,DE_Meridian_remix1_LD3,D017
32.0,DE,LP7,LP70,DE_Meridian_remix1_LD3,D018
40.0,DE,LP7,LP70,DE_Meridian_remix1_LD3,D019
46.0,DE,LP7,LP70,DE_Meridian_remix2_LD6,D005
60.0,DE,LP7,LP70,DE_Meridian_remix2_LD6,D013
62.0,DE,LP7,LP70,DE_Meridian_remix2_LD6,D014
25.0,DE,LP7,LP70,DE_Meridian_remix2_LD6,D015
62.0,DE,LP7,LP70,DE_Meridian_remix2_LD6,D016
21.0,DE,LP7,LP70,DE_Meridian_remix2_LD6,D017
56.0,DE,LP7,LP70,DE_Meridian_remix2_LD6,D018
40.0,DE,LP7,LP70,DE_Meridian_remix2_LD6,D019
39.0,DE,LP7,LP70,DE_SitaSings_remix1_LD0,D005
56.0,DE,LP7,LP70,DE_SitaSings_remix1_LD0,D013
59.0,DE,LP7,LP70,DE_SitaSings_remix1_LD0,D014
34.0,DE,LP7,LP70,DE_SitaSings_remix1_LD0,D015
66.0,DE,LP7,LP70,DE_SitaSings_remix1_LD0,D016
30.0,DE,LP7,LP70,DE_SitaSings_remix1_LD0,D017
42.0,DE,LP7,LP70,DE_SitaSings_remix1_LD0,D018
30.0,DE,LP7,LP70,DE_SitaSings_remix1_LD0,D019
31.0,DE,LP7,LP70,DE_SitaSings_remix2_LD6,D005
51.0,DE,LP7,LP70,DE_SitaSings_remix2_LD6,D013
52.0,DE,LP7,LP70,DE_SitaSings_remix2_LD6,D014
24.0,DE,LP7,LP70,DE_SitaSings_remix2_LD6,D015
50.0,DE,LP7,LP70,DE_SitaSings_remix2_LD6,D016
32.0,DE,LP7,LP70,DE_SitaSings_remix2_LD6,D017
50.0,DE,LP7,LP70,DE_SitaSings_remix2_LD6,D018
51.0,DE,LP7,LP70,DE_SitaSings_remix2_LD6,D019
34.0,DE,LP7,LP70,DE_female_speech_music_1_LD0,D005
47.0,DE,LP7,LP70,DE_female_speech_music_1_LD0,D013
70.0,DE,LP7,LP70,DE_female_speech_music_1_LD0,D014
26.0,DE,LP7,LP70,DE_female_speech_music_1_LD0,D015
52.0,DE,LP7,LP70,DE_female_speech_music_1_LD0,D016
44.0,DE,LP7,LP70,DE_female_speech_music_1_LD0,D017
41.0,DE,LP7,LP70,DE_female_speech_music_1_LD0,D018
50.0,DE,LP7,LP70,DE_female_speech_music_1_LD0,D019
48.0,DE,LP7,LP70,DE_female_speech_music_2_LD9,D005
52.0,DE,LP7,LP70,DE_female_speech_music_2_LD9,D013
12.0,DE,LP7,LP70,DE_female_speech_music_2_LD9,D014
30.0,DE,LP7,LP70,DE_female_speech_music_2_LD9,D015
48.0,DE,LP7,LP70,DE_female_speech_music_2_LD9,D016
40.0,DE,LP7,LP70,DE_female_speech_music_2_LD9,D017
22.0,DE,LP7,LP70,DE_female_speech_music_2_LD9,D018
30.0,DE,LP7,LP70,DE_female_speech_music_2_LD9,D019
38.0,DE,LP7,LP70,DE_female_speech_music_3_LD3,D005
72.0,DE,LP7,LP70,DE_female_speech_music_3_LD3,D013
43.0,DE,LP7,LP70,DE_female_speech_music_3_LD3,D014
25.0,DE,LP7,LP70,DE_female_speech_music_3_LD3,D015
54.0,DE,LP7,LP70,DE_female_speech_music_3_LD3,D016
20.0,DE,LP7,LP70,DE_female_speech_music_3_LD3,D017
42.0,DE,LP7,LP70,DE_female_speech_music_3_LD3,D018
20.0,DE,LP7,LP70,DE_female_speech_music_3_LD3,D019
45.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix1_LD6,D005
29.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix1_LD6,D013
22.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix1_LD6,D014
32.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix1_LD6,D015
22.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix1_LD6,D016
9.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix1_LD6,D017
10.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix1_LD6,D018
20.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix1_LD6,D019
48.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix3_LD3,D005
46.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix3_LD3,D013
51.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix3_LD3,D014
32.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix3_LD3,D015
17.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix3_LD3,D016
13.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix3_LD3,D017
19.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix3_LD3,D018
29.0,DE,Q1,OpenUnmix_mid,DE_CosmosLandromat_remix3_LD3,D019
61.0,DE,Q1,OpenUnmix_mid,DE_ElephantsDream_LD0,D005
20.0,DE,Q1,OpenUnmix_mid,DE_ElephantsDream_LD0,D013
31.0,DE,Q1,OpenUnmix_mid,DE_ElephantsDream_LD0,D014
44.0,DE,Q1,OpenUnmix_mid,DE_ElephantsDream_LD0,D015
55.0,DE,Q1,OpenUnmix_mid,DE_ElephantsDream_LD0,D016
24.0,DE,Q1,OpenUnmix_mid,DE_ElephantsDream_LD0,D017
20.0,DE,Q1,OpenUnmix_mid,DE_ElephantsDream_LD0,D018
40.0,DE,Q1,OpenUnmix_mid,DE_ElephantsDream_LD0,D019
66.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix1_LD3,D005
32.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix1_LD3,D013
41.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix1_LD3,D014
16.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix1_LD3,D015
25.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix1_LD3,D016
11.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix1_LD3,D017
15.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix1_LD3,D018
15.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix1_LD3,D019
52.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix2_LD6,D005
37.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix2_LD6,D013
60.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix2_LD6,D014
35.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix2_LD6,D015
24.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix2_LD6,D016
23.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix2_LD6,D017
39.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix2_LD6,D018
50.0,DE,Q1,OpenUnmix_mid,DE_Meridian_remix2_LD6,D019
49.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix1_LD0,D005
27.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix1_LD0,D013
25.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix1_LD0,D014
15.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix1_LD0,D015
16.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix1_LD0,D016
16.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix1_LD0,D017
27.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix1_LD0,D018
20.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix1_LD0,D019
44.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix2_LD6,D005
35.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix2_LD6,D013
26.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix2_LD6,D014
33.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix2_LD6,D015
18.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix2_LD6,D016
8.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix2_LD6,D017
9.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix2_LD6,D018
30.0,DE,Q1,OpenUnmix_mid,DE_SitaSings_remix2_LD6,D019
50.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_1_LD0,D005
30.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_1_LD0,D013
67.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_1_LD0,D014
45.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_1_LD0,D015
22.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_1_LD0,D016
26.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_1_LD0,D017
24.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_1_LD0,D018
40.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_1_LD0,D019
63.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_2_LD9,D005
41.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_2_LD9,D013
35.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_2_LD9,D014
50.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_2_LD9,D015
30.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_2_LD9,D016
17.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_2_LD9,D017
15.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_2_LD9,D018
40.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_2_LD9,D019
52.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_3_LD3,D005
27.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_3_LD3,D013
20.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_3_LD3,D014
50.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_3_LD3,D015
25.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_3_LD3,D016
13.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_3_LD3,D017
13.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_3_LD3,D018
30.0,DE,Q1,OpenUnmix_mid,DE_female_speech_music_3_LD3,D019
60.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix1_LD6,D005
55.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix1_LD6,D013
41.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix1_LD6,D014
55.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix1_LD6,D015
16.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix1_LD6,D016
15.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix1_LD6,D017
16.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix1_LD6,D018
10.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix1_LD6,D019
59.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix3_LD3,D005
60.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix3_LD3,D013
71.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix3_LD3,D014
56.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix3_LD3,D015
60.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix3_LD3,D016
20.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix3_LD3,D017
30.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix3_LD3,D018
40.0,DE,Q2,TFC_TDF_U_Net_mid,DE_CosmosLandromat_remix3_LD3,D019
70.0,DE,Q2,TFC_TDF_U_Net_mid,DE_ElephantsDream_LD0,D005
61.0,DE,Q2,TFC_TDF_U_Net_mid,DE_ElephantsDream_LD0,D013
56.0,DE,Q2,TFC_TDF_U_Net_mid,DE_ElephantsDream_LD0,D014
68.0,DE,Q2,TFC_TDF_U_Net_mid,DE_ElephantsDream_LD0,D015
48.0,DE,Q2,TFC_TDF_U_Net_mid,DE_ElephantsDream_LD0,D016
26.0,DE,Q2,TFC_TDF_U_Net_mid,DE_ElephantsDream_LD0,D017
42.0,DE,Q2,TFC_TDF_U_Net_mid,DE_ElephantsDream_LD0,D018
50.0,DE,Q2,TFC_TDF_U_Net_mid,DE_ElephantsDream_LD0,D019
69.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix1_LD3,D005
63.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix1_LD3,D013
55.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix1_LD3,D014
36.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix1_LD3,D015
65.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix1_LD3,D016
12.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix1_LD3,D017
38.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix1_LD3,D018
20.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix1_LD3,D019
63.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix2_LD6,D005
31.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix2_LD6,D013
68.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix2_LD6,D014
49.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix2_LD6,D015
36.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix2_LD6,D016
26.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix2_LD6,D017
20.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix2_LD6,D018
30.0,DE,Q2,TFC_TDF_U_Net_mid,DE_Meridian_remix2_LD6,D019
67.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix1_LD0,D005
57.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix1_LD0,D013
40.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix1_LD0,D014
47.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix1_LD0,D015
50.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix1_LD0,D016
26.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix1_LD0,D017
47.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix1_LD0,D018
40.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix1_LD0,D019
66.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix2_LD6,D005
60.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix2_LD6,D013
44.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix2_LD6,D014
65.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix2_LD6,D015
41.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix2_LD6,D016
16.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix2_LD6,D017
22.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix2_LD6,D018
40.0,DE,Q2,TFC_TDF_U_Net_mid,DE_SitaSings_remix2_LD6,D019
66.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_1_LD0,D005
60.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_1_LD0,D013
59.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_1_LD0,D014
76.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_1_LD0,D015
33.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_1_LD0,D016
37.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_1_LD0,D017
46.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_1_LD0,D018
20.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_1_LD0,D019
80.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_2_LD9,D005
70.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_2_LD9,D013
66.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_2_LD9,D014
74.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_2_LD9,D015
65.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_2_LD9,D016
43.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_2_LD9,D017
39.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_2_LD9,D018
50.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_2_LD9,D019
72.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_3_LD3,D005
61.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_3_LD3,D013
31.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_3_LD3,D014
85.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_3_LD3,D015
46.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_3_LD3,D016
23.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_3_LD3,D017
34.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_3_LD3,D018
50.0,DE,Q2,TFC_TDF_U_Net_mid,DE_female_speech_music_3_LD3,D019
71.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix1_LD6,D005
66.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix1_LD6,D013
53.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix1_LD6,D014
49.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix1_LD6,D015
57.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix1_LD6,D016
35.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix1_LD6,D017
36.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix1_LD6,D018
52.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix1_LD6,D019
64.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix3_LD3,D005
57.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix3_LD3,D013
61.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix3_LD3,D014
45.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix3_LD3,D015
69.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix3_LD3,D016
46.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix3_LD3,D017
55.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix3_LD3,D018
50.0,DE,Q3,Cocktail_mid,DE_CosmosLandromat_remix3_LD3,D019
78.0,DE,Q3,Cocktail_mid,DE_ElephantsDream_LD0,D005
51.0,DE,Q3,Cocktail_mid,DE_ElephantsDream_LD0,D013
77.0,DE,Q3,Cocktail_mid,DE_ElephantsDream_LD0,D014
54.0,DE,Q3,Cocktail_mid,DE_ElephantsDream_LD0,D015
78.0,DE,Q3,Cocktail_mid,DE_ElephantsDream_LD0,D016
54.0,DE,Q3,Cocktail_mid,DE_ElephantsDream_LD0,D017
73.0,DE,Q3,Cocktail_mid,DE_ElephantsDream_LD0,D018
60.0,DE,Q3,Cocktail_mid,DE_ElephantsDream_LD0,D019
82.0,DE,Q3,Cocktail_mid,DE_Meridian_remix1_LD3,D005
85.0,DE,Q3,Cocktail_mid,DE_Meridian_remix1_LD3,D013
36.0,DE,Q3,Cocktail_mid,DE_Meridian_remix1_LD3,D014
